Crash Number,City/Town Name,Crash Date,Crash Time,Crash Severity,Number of Vehicles,Total Nonfatal Injuries,Total Fatal Injuries,Manner of Collision,Vehicle Action Prior to Crash,Vehicle Travel Directions,Most Harmful Events,Vehicle Configuration,Road Surface Condition,Ambient Light,Weather Condition,At Roadway Intersection,Distance from Nearest Roadway Intersection,Distance from Nearest Milemarker,Distance from Nearest Exit,Distance from Nearest Landmark,Non Motorist Type,X Coordinate,Y Coordinate
3501992,BOSTON,22-Apr-2013,10:42 PM,Property damage only (none injured),1,0,0,Single vehicle crash,V1: Backing,V1:Northbound ,V1: Collision with fence ,V1: Passenger car,Dry,Dark - roadway not lighted,Clear,,,,,BLACK FALCON DOCK,,,
3414342,BOSTON,23-Apr-2013,7:20 AM,Non-fatal injury,2,1,0,Rear-end,V1: Slowing or stopped in traffic / V2:Travelling straight ahead,V1:Northbound / V2:Northbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V2:Light truck(van, mini-van, panel, pickup, sport utility) with only four tires",Wet,Daylight,Rain,,Rte 93 N,,Exit 15 on Rte 93 N,,,236972.2496,896473.4282
3452211,BOSTON,23-Apr-2013,7:59 AM,Not Reported,1,0,0,Single vehicle crash,V1: Travelling straight ahead,V1:Southbound ,"V1: Collision with other fixed object (wall, building, tunnel, etc.) ",V1: Passenger car,Wet,Daylight,Rain/Rain,,1161 ADAMS STREET,,,,,235833.6315,891449.22
3414213,BOSTON,23-Apr-2013,8:30 AM,Property damage only (none injured),2,0,0,Rear-end,V1: Travelling straight ahead / V2:Travelling straight ahead,V1:Northbound / V2:Northbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Passenger car,Dry,Other,Other,,Rte 93,,Exit 23 on Rte 93,,,236957.4837,900943.9828
3392502,BOSTON,23-Apr-2013,11:28 AM,Property damage only (none injured),1,0,0,Single vehicle crash,V1: Travelling straight ahead,V1:Westbound ,V1: Collision with guardrail ,V1: Passenger car,Wet,Daylight,Rain,,SOLDIERS FIELD ROAD / NORTH HARVARD STREET,,,,,230992.3482,902048.2872
3394334,BOSTON,23-Apr-2013,12:10 PM,Property damage only (none injured),1,0,0,Single vehicle crash,V1: Other,V1:Eastbound ,V1: Collision with median barrier ,V1: Passenger car,Wet,Daylight,Rain,,Rte 90 E,Rte 90  E Milemarker 129.0,,,,228164.3301,900848.8102
3414459,BOSTON,23-Apr-2013,1:28 PM,Not Reported,2,0,0,"Sideswipe, same direction",V1: Entering traffic lane / V2:Entering traffic lane,V1:Eastbound / V2:Eastbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Passenger car,Dry,Dusk,Clear,COLUMBIA ROAD / BUTTONWOOD STREET,,,,,,236609.8841,896827.4434
3393526,BOSTON,23-Apr-2013,3:42 PM,Non-fatal injury,2,1,0,Rear-end,V1: Slowing or stopped in traffic / V2:Travelling straight ahead,V1:Westbound / V2:Westbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Passenger car,Dry,Daylight,Clear,SOLDIERS FIELD ROAD EXTENSION / SOLDIERS FIELD ROAD,,,,ELIOT BRIDGE TO SOLDIERS FIELD R,,230341.9376,902500.9999
3393527,BOSTON,23-Apr-2013,5:35 PM,Property damage only (none injured),2,0,0,"Sideswipe, same direction",V1: Changing lanes / V2:Travelling straight ahead,V1:Northbound / V2:Westbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Passenger car,Wet,Daylight,Rain,,SOLDIERS FIELD ROAD,,,ELIOT BRIDGE,,230452.2604,902469.303
3394342,BOSTON,23-Apr-2013,6:05 PM,Property damage only (none injured),4,0,0,Rear-end,V1: Travelling straight ahead / V2:Travelling straight ahead / V3:Travelling straight ahead / V4:Travelling straight ahead,V1:Southbound / V2:Southbound / V3:Southbound / V4:Southbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic / V3: Collision with motor vehicle in traffic / V4: Collision with motor vehicle in traffic ,"V1: Passenger car / V2:Passenger car / V3:Passenger car / V4:Light truck(van, mini-van, panel, pickup, sport utility) with only four tires",Dry,Dawn,Clear,,Rte 93 S / LEVERETT AVENUE,,Exit 26 on Rte 93 S,EXIT 26,,234851.4113,903728.5151
3402974,BOSTON,23-Apr-2013,6:18 PM,Property damage only (none injured),2,0,0,Rear-end,V1: Travelling straight ahead / V2:Slowing or stopped in traffic,V1:Eastbound / V2:Eastbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V2:Light truck(van, mini-van, panel, pickup, sport utility) with only four tires",Dry,Daylight,Clear,,STORROW DRIVE / RAMP - BERKELEY ST TO RT 28 NB,,,STORROW TUNNELL,,235145.9276,900717.9224
3414360,BOSTON,23-Apr-2013,6:45 PM,Non-fatal injury,2,1,0,Rear-end,V1: Slowing or stopped in traffic / V2:Travelling straight ahead,V1:Westbound / V2:Westbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Passenger car,Wet,Daylight,Rain,,MORTON STREET Rte UNKNOW / JAMES SHEA CIRCLE,,,,,232426.4151,894490.4999
3394343,BOSTON,23-Apr-2013,7:15 PM,Property damage only (none injured),2,0,0,Rear-end,V1: Travelling straight ahead / V2:Travelling straight ahead,V1:Southbound / V2:Southbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Passenger car,Dry,Dark - lighted roadway,Clear,,Rte 93 S,,Exit 23 on Rte 93 S,SOUTH OF EXIT 23,,236856.2793,901152.8251
3394355,BOSTON,24-Apr-2013,6:50 AM,Property damage only (none injured),3,0,0,Not reported,V1: Slowing or stopped in traffic / V2:Slowing or stopped in traffic / V3:Slowing or stopped in traffic,V1:Southbound / V2:Southbound / V3:Southbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic / V3: Collision with median barrier ,V1: Passenger car / V2:Passenger car / V3:Passenger car,Dry,Daylight,Clear,,Rte 93 S,,Exit 11A on Rte 93 S,"93S, 1/4 MILE BEFORE EXIT 11",,237086.912,891375.951
3403083,BOSTON,24-Apr-2013,7:52 AM,Property damage only (none injured),2,0,0,Rear-end,V1: Travelling straight ahead / V2:Travelling straight ahead,V1:Northbound / V2:Northbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V2:Passenger car",Dry,Daylight,Clear,,Rte 93 N,Rte 93  N Milemarker 16.9,,O&AMP;APOS;NEILL TUNNEL,,236742.6233,900426.5825
3393528,BOSTON,24-Apr-2013,8:58 AM,Non-fatal injury,3,1,0,Rear-end,V1: Slowing or stopped in traffic / V2:Slowing or stopped in traffic / V3:Travelling straight ahead,V1:Eastbound / V2:Eastbound / V3:Eastbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic / V3: Collision with motor vehicle in traffic ,"V1: Passenger car / V2:Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V3:Passenger car",Dry,Daylight,Clear,STORROW DRIVE / CHARLESGATE WEST,,,,,,233331.5159,900085.8125
3394444,BOSTON,24-Apr-2013,9:12 AM,Non-fatal injury,2,1,0,"Sideswipe, same direction",V1: Travelling straight ahead / V2:Travelling straight ahead,V1:Southbound / V2:Southbound ,V1: Collision with median barrier / V2: Collision with motor vehicle in traffic ,"V1: Passenger car / V2:Single-unit truck (2-axle, 6-tire)",Dry,Daylight,Clear,,WILLIAM T MORRISSEY BOULEVARD / NEPONSET AVENUE,,,NEPONSET CIRCLE,,237696.0819,892924.3425
3414443,BOSTON,24-Apr-2013,9:16 AM,Property damage only (none injured),2,0,0,Rear-end,V1: Travelling straight ahead / V2:Travelling straight ahead,V1:Eastbound / V2:Eastbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,"V1: Passenger car / V2:Light truck(van, mini-van, panel, pickup, sport utility) with only four tires",Dry,Daylight,Clear,,SOLDIERS FIELD ROAD / CAMBRIDGE STREET,,,NEAR DOUBLETREE HOTEL,,231508.7367,901129.967
3394344,BOSTON,24-Apr-2013,10:17 AM,Property damage only (none injured),3,0,0,Rear-end,V1: Travelling straight ahead / V2:Travelling straight ahead / V3:Travelling straight ahead,V1:Northbound / V2:Northbound / V3:Northbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic / V3: Collision with motor vehicle in traffic ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V2:Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V3:Passenger car",Dry,Daylight,Not Reported,,Rte 93 N,Rte 93  N Milemarker 15.7,,SOUTH OF EXIT 20,,235943.114,898828.9688
3402964,BOSTON,24-Apr-2013,2:26 PM,Property damage only (none injured),2,0,0,Angle,V1: Travelling straight ahead / V2:Changing lanes,V1:Southbound / V2:Southbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Passenger car,Dry,Daylight,Not Reported,,Rte 93 S,,Exit 24 on Rte 93 S,,,236397.1933,901565.6511
3433935,BOSTON,24-Apr-2013,8:15 PM,Property damage only (none injured),2,0,0,Rear-end,V1: Slowing or stopped in traffic / V2:Travelling straight ahead,V1:Not reported / V2:Not reported ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Passenger car,Dry,Dark - lighted roadway,Clear,WASHINGTON STREET / ROCKINGHAM AVENUE,,,,,,228517.2925,890445.2278
3395100,BOSTON,25-Apr-2013,2:30 AM,Property damage only (none injured),2,0,0,Rear-end,V1: Travelling straight ahead / V2:Slowing or stopped in traffic,V1:Westbound / V2:Westbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Passenger car,Dry,Dark - lighted roadway,Clear,,STORROW DRIVE / BERKELEY STREET,,,@ DARTMOUTH FOOTBRIDGE,,234691.9392,900541.1158
3394357,BOSTON,25-Apr-2013,7:45 AM,Property damage only (none injured),2,0,0,"Sideswipe, same direction",V1: Slowing or stopped in traffic / V2:Travelling straight ahead,V1:Northbound / V2:Northbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V2:Passenger car",Dry,Daylight,Clear,WILLIAM T MORRISSEY BOULEVARD / NEPONSET AVENUE Rte 3A N / UNNAMED ROAD,,,,,,237753.7034,892977.1251
3396799,BOSTON,25-Apr-2013,7:52 AM,Property damage only (none injured),3,0,0,Rear-end,V1: Slowing or stopped in traffic / V2:Travelling straight ahead / V3:Travelling straight ahead,V1:Southbound / V2:Southbound / V3:Southbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic / V3: Collision with motor vehicle in traffic ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V2:Passenger car / V3:Passenger car",Dry,Daylight,Cloudy,,Rte 93 S,,Exit 24 on Rte 93 S,,,236397.1933,901565.6511
3414460,BOSTON,25-Apr-2013,7:55 AM,Property damage only (none injured),2,0,0,Angle,V1: Entering traffic lane / V2:Travelling straight ahead,V1:Southbound / V2:Eastbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V2:Passenger car",Dry,Daylight,Clear,COLUMBIA ROAD / BUTTONWOOD STREET,,,,,,236609.8841,896827.4434
3394445,BOSTON,25-Apr-2013,11:40 AM,Non-fatal injury,4,2,0,Rear-end,V1: Travelling straight ahead / V2:Slowing or stopped in traffic / V3:Slowing or stopped in traffic / V4:Slowing or stopped in traffic,V1:Southbound / V2:Southbound / V3:Southbound / V4:Southbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic / V3: Collision with motor vehicle in traffic / V4: Collision with motor vehicle in traffic ,"V1: Passenger car / V2:Single-unit truck (2-axle, 6-tire) / V3:Bus (seats for more than 15 people, including driver) / V4:Light truck(van, mini-van, panel, pickup, sport utility) with only four tires",Dry,Daylight,Clear,,Rte 93,,Exit 15 on Rte 93,,,236629.6253,897168.5001
3403084,BOSTON,25-Apr-2013,1:01 PM,Property damage only (none injured),2,0,0,"Sideswipe, same direction",V1: Changing lanes / V2:Travelling straight ahead,V1:Westbound / V2:Westbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Tractor/semi-trailer,Dry,Daylight,Clear,,Rte 90 W,,Exit 20 on Rte 90 W,,,231452.5043,900558.3731
3738415,BOSTON (DORCHESTER),25-Apr-2013,4:30 PM,Non-fatal injury,2,1,0,"Sideswipe, opposite direction",V1: Turning left / V2:Travelling straight ahead,V1:Northbound / V2:Not reported ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Passenger car,Dry,Daylight,Clear/Clear,BLUE HILL AVENUE / AMERICAN LEGION HIGHWAY,,,,,,234061.3109,894301.2989
3393508,BOSTON,25-Apr-2013,6:00 PM,Non-fatal injury,2,3,0,Rear-end,V1: Travelling straight ahead / V2:Slowing or stopped in traffic,V1:Southbound / V2:Southbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Passenger car,Dry,Daylight,Clear,,TEMPORARY RAMP Rte 1 S / MAURICE TOBIN BRIDGE,,,TOBIN BRIDGE,,235853.0976,902245.2623
3430232,BOSTON,25-Apr-2013,11:30 PM,Property damage only (none injured),2,0,0,Rear-end,V1: Travelling straight ahead / V2:Slowing or stopped in traffic,V1:Northbound / V2:Northbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Not reported,Dry,Dark - lighted roadway,Clear,,Rte 93 N,Rte 93  N Milemarker 16.3,,,,236361.4209,899696.7901
3419753,BOSTON,26-Apr-2013,2:41 AM,Property damage only (none injured),1,0,0,Single vehicle crash,V1: Travelling straight ahead,V1:Eastbound ,V1: Collision with median barrier ,V1: Passenger car,Dry,Dark - lighted roadway,Clear,FOREST HILLS STREET / ARBORWAY / JAMES SHEA CIRCLE,,,,FOREST HILLS OVERPASS,,232427.352,894561.8624
3452210,BOSTON,26-Apr-2013,5:30 AM,Property damage only (none injured),2,0,0,Not reported,V1: Travelling straight ahead / V2:Parked,V1:Eastbound / V2:Not reported ,V1: Unknown / V2: Not reported ,V1: Passenger car / V2:Passenger car,Not reported,Not reported,Not Reported,,17 SYDNEY STREET,,,,,236817.9777,895843.9521
3397832,BOSTON,26-Apr-2013,12:00 PM,Non-fatal injury,3,1,0,Rear-end,V1: Travelling straight ahead / V2:Travelling straight ahead / V3:Travelling straight ahead,V1:Southbound / V2:Southbound / V3:Southbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic / V3: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Passenger car / V3:Passenger car,Dry,Daylight,Clear,,Rte 93 S,,Exit 26 on Rte 93 S,LEVERETT CONNECTOR,,234851.4113,903728.5151
3396800,BOSTON,26-Apr-2013,1:00 PM,Property damage only (none injured),1,0,0,Single vehicle crash,V1: Travelling straight ahead,V1:Northbound ,V1: Collision with motor vehicle in traffic ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires",Dry,Daylight,Cloudy,RAMP - RT 90 TO RT 93 NB / JOHN F FITZGERALD EXPRESSWAY Rte 93 N,,,,RAMP D MERGE,,236586.4586,900220.4936
3414436,BOSTON,26-Apr-2013,1:12 PM,Property damage only (none injured),2,0,0,"Sideswipe, same direction",V1: Travelling straight ahead / V2:Changing lanes,V1:Eastbound / V2:Eastbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V2:Light truck(van, mini-van, panel, pickup, sport utility) with only four tires",Dry,Daylight,Clear,,60 feet S from Intersection STORROW DRIVE Rte 3A S / EMBANKMENT ROAD Rte 28 N,,,PRIOR TO LEVERETT CIRCLE,,235527.7596,901795.1923
3414444,BOSTON,26-Apr-2013,2:00 PM,Non-fatal injury,2,2,0,Angle,V1: Travelling straight ahead / V2:Travelling straight ahead,V1:Eastbound / V2:Northbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Passenger car,Dry,Daylight,Clear,NORTH BEACON STREET / PARSONS STREET / SOLDIERS FIELD ROAD,,,,,,228152.7188,900975.5
3403612,BOSTON,26-Apr-2013,2:10 PM,Non-fatal injury,5,1,0,Angle,V1: Turning left / V2:Travelling straight ahead / V3:Travelling straight ahead / V4:Travelling straight ahead / V5:Travelling straight ahead,V1:Northbound / V2:Northbound / V3:Northbound / V4:Northbound / V5:Northbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic / V3: Collision with motor vehicle in traffic / V4: Collision with motor vehicle in traffic / V5: Collision with motor vehicle in traffic ,"V1: Passenger car / V2:Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V3:Passenger car / V4:Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V5:Passenger car",Dry,Daylight,Clear,,Rte 93 N,,Exit 27 on Rte 93 N,,,235655.07,902467.5364
3402965,BOSTON,26-Apr-2013,3:39 PM,Property damage only (none injured),2,0,0,Angle,V1: Leaving traffic lane / V2:Travelling straight ahead,V1:Westbound / V2:Westbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V2:Light truck(van, mini-van, panel, pickup, sport utility) with only four tires",Dry,Daylight,Clear,,EAST BOSTON EXPRESSWAY Rte 1A S / SUMNER TUNNEL,,,SUMNER TUNNEL,,238041.3696,902662.0925
3430261,BOSTON,26-Apr-2013,4:00 PM,Property damage only (none injured),2,0,0,Rear-end,V1: Slowing or stopped in traffic / V2:Travelling straight ahead,V1:Northbound / V2:Northbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Passenger car,Dry,Daylight,Cloudy,,Rte 93 N,,Exit 11 on Rte 93,,,237094.7253,891674.8051
3393509,BOSTON,26-Apr-2013,5:20 PM,Non-fatal injury,3,1,0,Rear-end,V1: Slowing or stopped in traffic / V2:Slowing or stopped in traffic / V3:Travelling straight ahead,V1:Westbound / V2:Westbound / V3:Westbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic / V3: Collision with motor vehicle in traffic ,"V1: Passenger car / V2:Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V3:Passenger car",Dry,Daylight,Clear,,RAMP-LEVERETT CONNECTOR TO NASHUA ST,,,IN STATION TUNNEL FROM EXIT 26,,235727.487,901888.5087
3403886,BOSTON,26-Apr-2013,10:45 PM,Property damage only (none injured),1,0,0,Rear-end,V1: Travelling straight ahead,V1:Southbound ,V1: Collision with motor vehicle in traffic ,V1: Passenger car,Dry,Dark - lighted roadway,Clear,,Rte 93 S,,Exit 18 on Rte 93 S,,,236013.2783,899092.9981
3393859,BOSTON,26-Apr-2013,11:45 PM,Property damage only (none injured),2,0,0,Angle,V1: Leaving traffic lane / V2:Travelling straight ahead,V1:Northbound / V2:Northbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V2:Passenger car",Dry,Dark - lighted roadway,Cloudy,,Rte 93 N,,Exit 15 on Rte 93 N,NORTH HOV BUILDING,,236972.2496,896473.4282
3414344,BOSTON,27-Apr-2013,9:00 AM,Non-fatal injury,2,1,0,Rear-end,V1: Travelling straight ahead / V2:Slowing or stopped in traffic,V1:Westbound / V2:Westbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Passenger car,Dry,Daylight,Clear,,COLUMBIA ROAD Rte UNKNOW / BUTTONWOOD STREET,,,,,236609.5872,896844.6625
3414461,BOSTON,27-Apr-2013,11:15 AM,Property damage only (none injured),2,0,0,Rear-end,V1: Travelling straight ahead / V2:Slowing or stopped in traffic,V1:Southbound / V2:Southbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V2:Passenger car",Dry,Daylight,Clear,,WILLIAM DAY BOULEVARD / I STREET,,,,,237794.7523,897850.4545
3414345,BOSTON,27-Apr-2013,11:47 AM,Non-fatal injury,1,2,0,Single vehicle crash,V1: Travelling straight ahead,V1:Northbound ,V1: Reported but invalid ,V1: Motorcycle,Dry,Daylight,Clear,,Rte 93 N,,Exit 15 on Rte 93 N,,,236972.2496,896473.4282
3414462,BOSTON,27-Apr-2013,1:00 PM,Property damage only (none injured),2,0,0,Rear-end,V1: Slowing or stopped in traffic / V2:Travelling straight ahead,V1:Southbound / V2:Southbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Passenger car,Dry,Daylight,Clear,,GENERAL CASIMIR PULASKI SKYWAY Rte 93 S / RAMP - RT 93 NB TO FREEPORT ST,,,FREEPORT ONRAMP,,237420.3765,894075.9242
3402966,BOSTON,27-Apr-2013,6:04 PM,Property damage only (none injured),3,0,0,"Sideswipe, same direction",V1: Changing lanes / V2:Travelling straight ahead / V3:Travelling straight ahead,V1:Southbound / V2:Southbound / V3:Southbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic / V3: Collision with motor vehicle in traffic ,"V1: Passenger car / V2:Passenger car / V3:Light truck(van, mini-van, panel, pickup, sport utility) with only four tires",Dry,Daylight,Clear,,Rte 93 S,,Exit 20 on Rte 93 S,,,236954.209,900826.9442
3414361,BOSTON,27-Apr-2013,8:35 PM,Non-fatal injury,2,1,0,Rear-end,V1: Travelling straight ahead / V2:Slowing or stopped in traffic,V1:Westbound / V2:Westbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Passenger car,Dry,Dark - lighted roadway,Clear,,MORTON STREET Rte 203 / FAIRMOUNT STREET,,,,,234613.4958,892139.3072
3402967,BOSTON,27-Apr-2013,10:42 PM,Non-fatal injury,1,1,0,Single vehicle crash,V1: Turning right,V1:Northbound ,V1: Collision with median barrier ,V1: Passenger car,Dry,Dark - lighted roadway,Clear,,Rte 93,,Exit 23 on Rte 93,,,236957.4837,900943.9828
3402968,BOSTON,27-Apr-2013,11:49 PM,Property damage only (none injured),1,0,0,Single vehicle crash,V1: Travelling straight ahead,V1:Northbound ,V1: Other ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires",Dry,Dark - lighted roadway,Clear,JOHN F FITZGERALD EXPRESSWAY Rte 93 N / RAMP - BROADWAY TO RT 93 NB,,,,II RAMP,,236432.7311,899818.2464
3414445,BOSTON,28-Apr-2013,1:15 AM,Non-fatal injury,2,1,0,Rear-end,V1: Travelling straight ahead / V2:Travelling straight ahead,V1:Westbound / V2:Westbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V2:Light truck(van, mini-van, panel, pickup, sport utility) with only four tires",Dry,Dark - lighted roadway,Clear,,STORROW DRIVE / SOLDIERS FIELD ROAD,,,BU BRIDGE,,232130.2805,900223.8735
3402969,BOSTON,28-Apr-2013,3:16 AM,Property damage only (none injured),1,0,0,Single vehicle crash,V1: Leaving traffic lane,V1:Southbound ,V1: Collision with other movable object ,V1: Passenger car,Dry,Dark - lighted roadway,Clear,,SOUTHBOUND FRONTAGE ROAD / RAMP - RT 93 TO MASSACHUSETTS AVE,,,ERS #4,,235778.7225,898433.5051
3450591,BOSTON,28-Apr-2013,3:38 AM,Non-fatal injury,2,4,0,Head-on,V1: Travelling straight ahead / V2:Travelling straight ahead,V1:Northbound / V2:Eastbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Passenger car,Dry,Dark - lighted roadway,Clear/Clear,HUMBOLDT AVENUE / TOWNSEND STREET,,,,,,234086.2346,896367.7499
3425213,BOSTON,28-Apr-2013,6:00 AM,Not Reported,1,0,0,Single vehicle crash,V1: Not reported,V1:Northbound ,V1: Reported but invalid ,V1: Passenger car,Dry,Daylight,Clear,RAMP - RT 93 NB TO FREEPORT ST / VICTORY ROAD,,,,,,237347.969,894358.0623
3482077,BOSTON (DORCHESTER),28-Apr-2013,9:14 AM,Not Reported,2,0,0,"Sideswipe, same direction",V1: Parked / V2:Parked,V1:Not reported / V2:Not reported ,V1: Collision with parked motor vehicle / V2: Not reported ,V1: Passenger car / V2:Truck/trailer,Dry,Daylight,Clear/Clear,,71 PIERCE AVENUE,,,,,237001.5761,893117.3991
3430262,BOSTON,28-Apr-2013,11:30 AM,Property damage only (none injured),2,0,0,Not reported,V1: Turning left / V2:Travelling straight ahead,V1:Northbound / V2:Southbound ,V1: Collision with motor vehicle in traffic / V2: Other ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V2:Other",Dry,Daylight,Clear,,WILLIAM DAY BOULEVARD Rte UNKNOW / FARRAGUT ROAD,,,,,239146.713,898167.8717
3430263,BOSTON,28-Apr-2013,11:45 AM,Property damage only (none injured),2,0,0,"Sideswipe, same direction",V1: Turning left / V2:Not reported,V1:Northbound / V2:Not reported ,V1: Collision with motor vehicle in traffic / V2: Not reported ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V2:Not reported",Dry,Daylight,Clear,,WILLIAM T MORRISSEY BOULEVARD,,,LAMBERTS,,237333.1473,893869.8961
3403617,BOSTON,28-Apr-2013,1:54 PM,Property damage only (none injured),2,0,0,Rear-end,V1: Slowing or stopped in traffic / V2:Travelling straight ahead,V1:Northbound / V2:Northbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,"V1: Light truck(van, mini-van, panel, pickup, sport utility) with only four tires / V2:Light truck(van, mini-van, panel, pickup, sport utility) with only four tires",Dry,Daylight,Clear/Cloudy,,Rte 93 N,Rte 93  N Milemarker 17.1,,,,236981.7446,900635.8998
3403887,BOSTON,28-Apr-2013,3:54 PM,Property damage only (none injured),3,0,0,Rear-end,V1: Travelling straight ahead / V2:Travelling straight ahead / V3:Travelling straight ahead,V1:Northbound / V2:Northbound / V3:Northbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic / V3: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Passenger car / V3:Passenger car,Dry,Daylight,Clear,,JOHN F FITZGERALD EXPRESSWAY Rte 93 N,,,O'NEILL TUNNEL,,236469.0646,899904.8057
3414346,BOSTON,28-Apr-2013,4:35 PM,Non-fatal injury,2,1,0,Rear-end,V1: Changing lanes / V2:Slowing or stopped in traffic,V1:Southbound / V2:Southbound ,V1: Collision with motor vehicle in traffic / V2: Collision with motor vehicle in traffic ,V1: Passenger car / V2:Passenger car,Dry,Daylight,Clear,,Rte 93,,Exit 15 on Rte 93,,,236629.6253,897168.5001
